latitude,longitude,altitude_m,name,folder
-22.88561952529495,-45.97219365267541,0.0,Mimi,Mimi_fevereiro/2023
-22.880166,-45.95471700000001,1361.916,1. Ara (1.933 m),Mimi_fevereiro/2023
-22.89282410703465,-45.98449969347736,0.0,2. Braga (1.500 m),Mimi_fevereiro/2023
-22.92893003801948,-45.9844440767487,0.0,3. Trevisan (5.050 m),Mimi_fevereiro/2023
-22.9128412761657,-45.89583496855688,0.0,4. Rochelle (8.424 m),Mimi_fevereiro/2023
-22.99402295438718,-46.05498980067121,0.0,5. Leo (14.779 m),Mimi_fevereiro/2023
-22.88561952529495,-45.97219365267541,0.0,Saci ,Saci_fevereiro/2023
-22.880166,-45.95471700000001,1361.916,1. Ara (1.933 m),Saci_fevereiro/2023
-22.89282410703465,-45.98449969347736,0.0,2. Braga (1.500 m),Saci_fevereiro/2023
-22.92893003801948,-45.9844440767487,0.0,3. Trevisan (5.050 m),Saci_fevereiro/2023
-22.9128412761657,-45.89583496855688,0.0,4. Rochelle (8.424 m),Saci_fevereiro/2023
-22.99402295438718,-46.05498980067121,0.0,5. Leo (14.779 m),Saci_fevereiro/2023
-22.89346,-45.95608,0.0,Atlântica ,Atlântica_fevereiro/2023
-22.880166,-45.95471700000001,1361.916,1. Ara (1.935 m),Atlântica_fevereiro/2023
-22.89282410703465,-45.98449969347736,0.0,2. Braga (3.080 m),Atlântica_fevereiro/2023
-22.92893003801948,-45.9844440767487,0.0,3. Trevisan (4.890 m),Atlântica_fevereiro/2023
-22.9128412761657,-45.89583496855688,0.0,4. Rochell (6.550 m),Atlântica_fevereiro/2023
-22.99402295438718,-46.05498980067121,0.0,5. Leo (15.080 m),Atlântica_fevereiro/2023
